# group	key	arxiv_id	venue
# ---- 0. core (deep dives) ----
core	EventVLA	2606.20092	arXiv 2026
core	TRACE	2606.14551	arXiv 2026
core	SAI	2606.16490	arXiv 2026
# ---- 1. surveys, analyses, position ----
survey	VLASurvey	2508.13073	arXiv 2025
survey	WAMSurvey	2606.20781	arXiv 2026
survey	PresentNotRemembered	2607.03372	arXiv 2026
survey	WeightsOrSkills	2608.01851	arXiv 2026
dense	ScalingSTM	2606.16178	arXiv 2026
survey	LongContextDP	2606.16447	arXiv 2026
survey	WhyChunking	2608.02547	arXiv 2026
# ---- 2. benchmarks for memory-dependent manipulation ----
bench	RMBench	2603.01229	arXiv 2026
bench	RoboMME	2603.04639	arXiv 2026
bench	RoboMemArena	2605.10921	arXiv 2026
bench	MIKASA-Robo	2502.10550	arXiv 2025
bench	RoboCerebra	2506.06677	NeurIPS 2025
bench	LongBench	2604.16788	arXiv 2026
latent	MEMBOT	2509.11225	arXiv 2025
bench	RoboDojo	2607.04434	arXiv 2026
# ---- 3. explicit visual memory: frame buffers, keyframes, events, compressed history ----
event	KEMO	2606.23589	arXiv 2026
event	KeyframeChaining	2603.01465	arXiv 2026
event	Bi-HIL	2603.13315	arXiv 2026
dense	MemoryVLA	2508.19236	arXiv 2025
dense	MemoryVLApp	2606.09827	arXiv 2026
dense	ContextVLA	2510.04246	arXiv 2025
dense	CronusVLA	2506.19816	arXiv 2025
dense	HAMLET	2510.00695	arXiv 2025
dense	FibVLA	2607.29596	arXiv 2026
dense	LoLA	2512.20166	arXiv 2025
dense	StaticDynamic	2602.03983	arXiv 2026
dense	TempoFit	2603.07647	arXiv 2026
dense	NativeMEM	2607.06678	arXiv 2026
event	UniMem	2608.22869	arXiv 2026
dense	StreamPI	2608.26067	arXiv 2026
dense	HiMe	2607.03449	arXiv 2026
dense	RememberSmarter	2608.15269	arXiv 2026
dense	AtlasVLA	2608.06729	arXiv 2026
dense	DualLatentMemory	2607.07608	arXiv 2026
dense	DualMemoryVLA	2602.20200	arXiv 2026
dense	AnchorVLA4D	2603.12730	arXiv 2026
dense	TraceVLA	2412.10345	ICLR 2025
dense	HiF-VLA	2512.09928	arXiv 2025
dense	CycleManip	2512.01022	arXiv 2025
dense	AVA-VLA	2511.18960	arXiv 2025
dense	BridgeVLApp	2608.05042	arXiv 2026
dense	ST-VLA	2603.13788	arXiv 2026
# ---- 4. latent, recurrent, slot and state-space memory ----
latent	VPWEM	2603.04910	arXiv 2026
latent	VQ-Memory	2603.09513	arXiv 2026
latent	MemoAct	2603.18494	arXiv 2026
latent	muVLA	2606.12497	arXiv 2026
latent	RecursiveBeliefVLA	2602.20659	arXiv 2026
latent	MTIL	2505.12410	arXiv 2025
latent	DSSP	2605.14598	arXiv 2026
latent	GatedMemoryPolicy	2604.18933	arXiv 2026
latent	Chronos	2606.30318	arXiv 2026
latent	ChronoFlow	2606.31493	arXiv 2026
latent	BehavioralMemories	2606.21188	arXiv 2026
latent	EmbodiedSlotSSM	2511.11478	arXiv 2025
latent	TFP	2607.08283	arXiv 2026
latent	PastTokenPrediction	2505.09561	arXiv 2025
latent	ELMUR	2510.07151	arXiv 2025
latent	MemoryFromDemos	2411.07954	arXiv 2024
dense	MemoryRetrievalVisuomotor	2606.25136	arXiv 2026
latent	ActionEffectMemory	2606.12499	arXiv 2026
latent	FM-VLA	2607.18231	arXiv 2026
latent	SAM2Act	2501.18564	arXiv 2025
# ---- 5. dual-system, agentic, language / retrieval memory ----
agentic	MemER	2510.20328	arXiv 2025
agentic	Mem	2603.03596	arXiv 2026
agentic	MAP-VLA	2511.09516	arXiv 2025
agentic	EchoVLA	2511.18112	arXiv 2025
agentic	NotesToSelf	2602.21013	arXiv 2026
agentic	ExplicitLanguageMemory	2608.04765	arXiv 2026
agentic	CodeGraphVLP	2604.22238	arXiv 2026
agentic	SkillsWeightsMemoryCode	2608.09410	arXiv 2026
agentic	HELM	2604.18791	arXiv 2026
agentic	HarnessVLA	2607.08448	arXiv 2026
agentic	AGM	2608.29537	arXiv 2026
agentic	PonderPounce	2608.24115	arXiv 2026
agentic	BATON	2608.16889	arXiv 2026
agentic	OnEvoMemory	2608.08749	arXiv 2026
agentic	ExpReS-VLA	2511.06202	arXiv 2025
agentic	SkillMemo	2608.05970	arXiv 2026
agentic	ActionSketcher	2601.01618	arXiv 2026
agentic	ChainVLA	2608.02326	arXiv 2026
agentic	GeneralVLA-2	2606.17480	arXiv 2026
# ---- 6. memory inside world / video action models ----
world	MemoryWAM	2606.20562	arXiv 2026
world	MemoryVAM	2606.20679	arXiv 2026
world	TriVLA	2507.01424	arXiv 2025
event	WeaveLA	2606.17463	arXiv 2026
# ---- 7. multi-robot collaboration, partner-conditioned history ----
multi	HATS	2606.16491	arXiv 2026
multi	Duet	2606.20990	arXiv 2026
multi	TriManual	2607.25731	arXiv 2026
multi	TriPilot-FF	2602.09888	arXiv 2026
multi	AutoIntervene	2608.07065	arXiv 2026
multi	TwoHeadsAgree	2608.15748	arXiv 2026
multi	MobileALOHA	2401.02117	CoRL 2024
multi	IntervenGen	2405.01472	IROS 2024
multi	DecoupledBimanual	2503.09186	ICCV 2025
# ---- 8. background: memory mechanisms and trajectory descriptors ----
background	RMT	2207.06881	NeurIPS 2022
background	Titans	2501.00663	arXiv 2025
background	MANN	1605.06065	ICML 2016
background	Signatory	2001.00706	ICLR 2021
background	ExplorativeILSignature	2407.04856	arXiv 2024
background	DAgger	1011.0686	AISTATS 2011
